Name,Age,Overall,Nationality,Club,Value,Wage,Preferred Foot,Jersey Number,Position
P. Pusic,19,60,Switzerland,Grasshopper Club Zürich,€350K,€1K,Right,28.0,RCM
I. Rojas,20,60,Colombia,Envigado FC,€325K,€1K,Left,6.0,CDM
L. Chiappero,24,60,Argentina,Defensa y Justicia,€210K,€1K,Left,1.0,GK
B. Sissoko,20,60,France,ESTAC Troyes,€325K,€1K,Right,3.0,CB
S. Paintsil,22,60,Ghana,FC Admira Wacker Mödling,€280K,€2K,Right,21.0,LM
E. Amenyido,20,60,Germany,VfL Osnabrück,€350K,€1K,Right,14.0,ST
R. Charles-Cook,21,60,England,Gillingham,€300K,€1K,Right,11.0,CAM
M. Heinrich,20,60,Germany,SC Preußen Münster,€300K,€1K,Right,27.0,LM
A. Erlingmark,20,60,Sweden,IFK Göteborg,€325K,€1K,Right,19.0,LCM
G. Jones,22,60,Wales,Fleetwood Town,€270K,€1K,Right,19.0,LB
M. Cassara,26,60,France,GFC Ajaccio,€190K,€1K,Right,1.0,GK
T. Tillman,19,60,Germany,1. FC Nürnberg,€450K,€4K,Right,37.0,CAM
Qiu Tianyi,29,60,China PR,Tianjin TEDA FC,€180K,€2K,Right,5.0,CB
Yang Jiawei,26,60,China PR,Jiangsu Suning FC,€240K,€3K,Right,27.0,RM
K. Khosonov,20,60,Russia,PFC CSKA Moscow,€375K,€1K,Right,80.0,CM
S. Frederiksen,28,60,Denmark,SønderjyskE,€210K,€2K,Left,11.0,LM
L. Budziłek,27,60,Poland,Pogoń Szczecin,€160K,€1K,Right,53.0,GK
J. Barmby,23,60,England,Portland Timbers,€280K,€1K,Left,23.0,CAM
J. Franzoni,27,60,Argentina,Patronato,€220K,€3K,Right,9.0,ST
A. Bamba,18,60,Ivory Coast,Paris FC,€375K,€1K,Right,15.0,CB
C. Ilic,21,60,Croatia,TSV Hartberg,€250K,€1K,Right,16.0,LB
M. Gurski,39,60,Germany,SpVgg Unterhaching,€10K,€1K,Right,34.0,GK
B. Gyamfi,22,60,Ghana,Benevento,€240K,€1K,Right,18.0,RB
Daniel Rebollo,18,60,Spain,Real Betis,€350K,€1K,Right,31.0,GK
G. Canto,24,60,Argentina,Club Tijuana,€260K,€2K,Left,21.0,CB
Adrià Arjona,22,60,Spain,CF Reus Deportiu,€290K,€1K,Right,29.0,CM
C. McFadzean,24,60,Scotland,Bury,€220K,€2K,Left,21.0,LWB
K. Brennan,34,60,Republic of Ireland,St. Patrick's Athletic,€60K,€1K,Left,10.0,CDM
E. Berger,24,60,Norway,IK Start,€250K,€1K,Right,3.0,RCB
M. Choinière,19,60,Canada,Montreal Impact,€450K,€1K,Right,29.0,CAM
A. Siebeck,24,60,Germany,Karlsruher SC,€270K,€1K,Left,34.0,CM
N. Sukacev,20,60,Switzerland,Grasshopper Club Zürich,€450K,€2K,Left,25.0,RM
G. Thompson,37,60,England,Morecambe,€70K,€1K,Right,7.0,RM
D. Tagami,25,60,Japan,V-Varen Nagasaki,€220K,€1K,Right,5.0,LCB
D. Vokic,22,60,Slovenia,Zagłębie Sosnowiec,€250K,€1K,Right,72.0,RDM
R. D'Haese,19,60,Belgium,KV Oostende,€350K,€1K,Right,29.0,LM
S. Seth,20,60,Nigeria,Yeni Malatyaspor,€325K,€1K,Right,18.0,RB
I. Ogbu,18,60,Nigeria,Rosenborg BK,€325K,€1K,Right,30.0,CB
N. Temperini,23,60,Argentina,Newell's Old Boys,€240K,€2K,Right,12.0,GK
T. Ivanof,20,60,Belgium,KV Kortrijk,€325K,€2K,Right,19.0,CAM
C. González,20,60,Mexico,Club Atlas,€325K,€2K,Right,24.0,RB
B. Öztürk,22,60,Turkey,Antalyaspor,€280K,€2K,Right,95.0,CB
M. Fischer,22,60,Austria,SCR Altach,€290K,€2K,Left,30.0,RCM
L. Malagón,21,60,Mexico,Monarcas Morelia,€290K,€1K,Right,35.0,GK
M. Drawz,19,60,Poland,Hamburger SV,€450K,€1K,Left,33.0,ST
Z. Medley,17,60,England,Arsenal,€375K,€5K,Right,47.0,CB
P. Farman,28,60,England,Stevenage,€150K,€2K,Right,1.0,GK
M. Al Olayan,23,60,Saudi Arabia,Al Taawoun,€240K,€3K,Right,18.0,RB
K. Tanno,32,60,Japan,Cerezo Osaka,€120K,€1K,Right,27.0,GK
A. Kovačević,24,60,Bosnia Herzegovina,Korona Kielce,€240K,€1K,Right,5.0,RCB
F. Graudenz,26,60,Germany,FC Energie Cottbus,€220K,€1K,Left,19.0,LM
R. Sallinger,22,60,Austria,TSV Hartberg,€210K,€1K,Right,35.0,GK
L. Fraser,20,60,Canada,Toronto FC,€425K,€1K,Right,27.0,CDM
J. van Benthem,19,60,Netherlands,Heracles Almelo,€300K,€1K,Right,20.0,CB
C. Stockton,24,60,England,Tranmere Rovers,€270K,€2K,Right,20.0,ST
D. Sánchez,25,60,Colombia,Itagüí Leones FC,€230K,€1K,Left,21.0,LB
Álvaro García,18,60,Spain,Albacete BP,€425K,€1K,Left,27.0,CM
D. Leadbitter,27,60,England,Bristol Rovers,€170K,€2K,Right,2.0,RB
C. Ainley,20,60,England,Crewe Alexandra,€450K,€2K,Right,11.0,RM
A. Bodart,20,60,Belgium,Standard de Liège,€280K,€1K,Right,16.0,GK
N. Bazzana,22,60,Argentina,Estudiantes de La Plata,€260K,€2K,Right,2.0,CB
M. Bleve,22,60,Italy,Lecce,€260K,€1K,Right,1.0,GK
M. Molina,18,60,Argentina,Independiente,€425K,€2K,Right,26.0,ST
M. Behrens,21,60,Germany,Hamburger SV,€260K,€1K,Right,30.0,GK
V. Sirotov,26,60,Russia,Zagłębie Lubin,€220K,€1K,Left,37.0,RM
M. Boudjemaa,20,60,France,En Avant de Guingamp,€425K,€2K,Right,34.0,CDM
C. Horgan,23,60,Republic of Ireland,Cork City,€220K,€1K,Right,22.0,RB
M. Rhead,34,60,England,Lincoln City,€110K,€3K,Right,9.0,ST
G. Nyamsi,21,60,France,Stade Rennais FC,€290K,€3K,Right,20.0,CB
E. Reijnders,17,60,Netherlands,PEC Zwolle,€400K,€1K,Right,30.0,LM
C. McDermott,20,60,Republic of Ireland,Derry City,€400K,€1K,Right,2.0,RB
U. Mohammed,24,60,Nigeria,Sarpsborg 08 FF,€280K,€1K,Right,14.0,CM
E. Andersson,21,60,Sweden,Trelleborgs FF,€350K,€1K,Left,7.0,CM
L. Joyce,30,60,England,Port Vale,€190K,€3K,Right,4.0,RCM
I. Kanu,18,60,England,Port Vale,€425K,€1K,Right,17.0,ST
A. Majrashi,20,60,Saudi Arabia,Al Ahli,€325K,€3K,Right,50.0,CDM
C. Pombo,24,60,Argentina,Atlético Tucumán,€280K,€2K,Right,21.0,CM
M. Bean,34,60,Jamaica,Wycombe Wanderers,€100K,€1K,Right,8.0,CM
T. Conlon,22,60,England,Port Vale,€270K,€2K,Left,22.0,LCM
A. Purzycki,20,60,Poland,Miedź Legnica,€270K,€1K,Right,13.0,RCM
M. Maranda,20,60,Austria,FC Wacker Innsbruck,€280K,€1K,Right,50.0,LCB
A. Al Obud,23,60,Saudi Arabia,Ettifaq FC,€300K,€4K,Right,24.0,ST
T. Kallevåg,25,60,Norway,FK Haugesund,€260K,€1K,Right,14.0,LM
Gori López,19,60,Spain,CF Reus Deportiu,€350K,€1K,Right,35.0,CM
A. Tsvetkov,27,60,Bulgaria,,€0,€0,Right,3.0,CDM
S. Al Khayri,23,60,Saudi Arabia,Ettifaq FC,€240K,€3K,Right,50.0,RB
F. Musaev,29,60,Uzbekistan,Júbilo Iwata,€200K,€1K,Right,8.0,CM
Chen Jie,28,60,China PR,Beijing Renhe FC,€210K,€2K,Right,15.0,CM
M. Burgess,23,60,Australia,Wellington Phoenix,€280K,€1K,Left,23.0,CAM
E. Kutler,23,60,United States,New York Red Bulls,€240K,€1K,Right,41.0,RB
Chechu Grana,23,60,Spain,CF Reus Deportiu,€210K,€1K,Right,26.0,GK
T. Siekman,28,60,Netherlands,FC Emmen,€200K,€1K,Left,3.0,LB
E. Bullaude,17,60,Argentina,Godoy Cruz,€425K,€1K,Right,33.0,ST
Shi Liang,29,60,China PR,Beijing Renhe FC,€200K,€2K,Right,13.0,RDM
D. Barlaser,21,60,England,Accrington Stanley,€450K,€5K,Right,26.0,RCM
D. Camacho,21,60,Colombia,La Equidad,€400K,€1K,Right,22.0,CM
J. Oates,27,60,Australia,Exeter City,€170K,€2K,Right,18.0,RB
S. Cosgrove,21,60,England,Aberdeen,€350K,€1K,Right,16.0,ST
B. Garré,17,60,Argentina,Manchester City,€400K,€7K,Left,73.0,LW
J. Jones,22,60,Scotland,Crewe Alexandra,€325K,€3K,Right,8.0,RCM
R. Tranberg,25,60,Sweden,Dalkurd FF,€230K,€1K,Right,6.0,RCM
S. Bougrine,21,60,Morocco,Paris FC,€325K,€1K,Right,21.0,CM
S. Byrne,25,60,Scotland,Livingston FC,€260K,€1K,Right,6.0,LCM
Park Yong Ji,25,60,Korea Republic,Sangju Sangmu FC,€250K,€1K,Right,35.0,ST
C. Calderón,21,60,Mexico,Club Atlas,€350K,€2K,Right,26.0,LB
F. Juárez,19,60,Argentina,Club Atlético Talleres,€375K,€1K,Right,16.0,CM
F. Lapis,24,60,France,Chamois Niortais Football Club,€220K,€1K,Left,3.0,LB
Cristian Rodríguez,22,60,Spain,Atlético Madrid,€325K,€5K,Right,28.0,CAM
S. Folan,26,60,Republic of Ireland,Dundalk,€210K,€1K,Right,15.0,CB
Shan Pengfei,25,60,China PR,Dalian YiFang FC,€210K,€2K,Right,3.0,LB
J. Yarney,20,60,England,Morecambe,€325K,€4K,Right,14.0,RCB
F. Andersson,29,60,Sweden,Malmö FF,€140K,€1K,Right,29.0,GK
U. Tezel,21,60,Germany,SC Preußen Münster,€280K,€1K,Right,14.0,RB
A. Camara,20,60,Senegal,KV Kortrijk,€280K,€2K,Right,25.0,CB
A. Al Sharid,24,60,Saudi Arabia,Al Fateh,€250K,€3K,Left,37.0,CDM
R. Jendrusch,22,60,Germany,FC Erzgebirge Aue,€210K,€1K,Right,26.0,GK
M. Demir,20,60,Turkey,Hannover 96,€400K,€3K,Left,21.0,LM
J. Borgmann,20,60,Germany,SC Preußen Münster,€250K,€1K,Right,4.0,LCB
D. Esmel,20,60,Ivory Coast,1. FC Kaiserslautern,€375K,€1K,Right,14.0,LW
T. Nichols,24,60,England,Bristol Rovers,€260K,€2K,Right,10.0,LS
R. Husić,22,60,Germany,VfR Aalen,€240K,€1K,Left,22.0,GK
V. Arboleda,21,60,Colombia,Portland Timbers,€375K,€1K,Right,29.0,RW
G. Mells,21,60,Australia,Fortuna Sittard,€325K,€1K,Right,32.0,CM
Z. Grich,22,60,France,Chamois Niortais Football Club,€280K,€1K,Left,29.0,LM
Yoon Dong Min,29,60,Korea Republic,Jeonnam Dragons,€210K,€1K,Right,30.0,ST
M. Jadama,24,60,United States,Portland Timbers,€280K,€1K,Right,94.0,CB
Qi Tianyu,25,60,China PR,Shandong Luneng TaiShan FC,€230K,€2K,Right,24.0,CDM
A. May,20,60,England,Portsmouth,€350K,€1K,Right,30.0,CM
C. Maghoma,20,60,DR Congo,Arka Gdynia,€240K,€1K,Right,3.0,CB
M. Sorensen,19,60,Denmark,Brentford,€400K,€2K,Left,34.0,CB
B. Morris,18,60,England,Forest Green Rovers,€425K,€1K,Right,22.0,ST
O. Dytyatev,29,60,Ukraine,Cracovia,€160K,€1K,Right,34.0,RCB
P. Mbodji,20,60,Senegal,Getafe CF,€325K,€2K,Right,34.0,CM
S. Al Najai,21,60,Saudi Arabia,Al Nassr,€280K,€3K,Right,19.0,CDM
D. Margush,20,60,Australia,Adelaide United,€290K,€1K,Right,1.0,GK
M. Bokoum,18,60,Belgium,AS Béziers,€325K,€1K,Left,18.0,LM
R. Wolsztyński,23,60,Poland,Górnik Zabrze,€290K,€1K,Left,23.0,ST
L. Cruz,21,60,Mexico,Tigres U.A.N.L.,€375K,€6K,Left,32.0,ST
R. Escobar,20,60,Chile,Audax Italiano,€425K,€1K,Right,27.0,CB
A. Al Shammary,22,60,Saudi Arabia,Al Shabab,€325K,€4K,Left,11.0,LM
F. Krüger,19,60,Germany,FC Erzgebirge Aue,€400K,€1K,Right,11.0,ST
H. Heath,22,60,England,Minnesota United FC,€270K,€1K,Right,16.0,CM
W. Boyle,22,60,England,Cheltenham Town,€250K,€2K,Right,15.0,LCB
A. Rodríguez,22,60,Argentina,Newell's Old Boys,€350K,€3K,Right,14.0,ST
T. Domgjoni,19,60,Switzerland,FC Zürich,€450K,€1K,Right,14.0,CM
M. Bola,20,60,England,Blackpool,€290K,€1K,Left,27.0,LWB
H. Mitsumaru,24,60,Japan,Sagan Tosu,€220K,€1K,Left,2.0,LB
S. Smith,20,60,England,Oxford United,€450K,€4K,Left,9.0,ST
J. Qwiberg,25,60,Sweden,San Jose Earthquakes,€200K,€1K,Left,2.0,LB
B. Ashley-Seal,19,60,England,Wolverhampton Wanderers,€450K,€5K,Right,24.0,ST
S. Fujitani,20,60,Japan,Vissel Kobe,€250K,€1K,Right,34.0,RB
Sergi Álamo,20,60,Spain,Girona FC,€350K,€3K,Left,32.0,LB
A. Ćatić,19,60,Bosnia Herzegovina,PSV,€450K,€1K,Right,44.0,RW
A. Akinola,18,60,United States,Toronto FC,€425K,€1K,Right,46.0,ST
P. Grant,24,60,Scotland,Plymouth Argyle,€250K,€2K,Right,24.0,CB
K. Monlouis,22,60,England,Hamilton Academical FC,€325K,€1K,Right,19.0,CM
A. Anastasio,21,60,Italy,Cosenza,€290K,€5K,Right,28.0,LB
R. Gilmartin,31,60,Republic of Ireland,Colchester United,€130K,€2K,Right,25.0,GK
B. Njie,20,60,Norway,Odds BK,€375K,€1K,Right,19.0,RW
E. Monthe,23,60,Cameroon,Tranmere Rovers,€250K,€2K,Left,6.0,LCB
V. Millico,17,60,Italy,Torino,€400K,€3K,Right,62.0,LW
N. Husin,21,60,Afghanistan,Notts County,€350K,€2K,Right,17.0,CM
D. Salazar,19,60,Chile,CD O'Higgins,€450K,€1K,Left,25.0,ST
V. Drchal,18,60,Czech Republic,Sparta Praha,€425K,€1K,Right,20.0,ST
J. Caraballo,22,60,Venezuela,CD Huachipato,€325K,€1K,Right,11.0,RM
C. Zock,24,60,Cameroon,FC Sion,€270K,€4K,Right,6.0,RCM
A. Chrzanowski,19,60,Poland,Lechia Gdańsk,€300K,€1K,Left,4.0,CB
T. Clarke,20,60,Republic of Ireland,Shamrock Rovers,€400K,€1K,Left,20.0,LB
F. Carstens,19,60,Germany,FC St. Pauli,€300K,€1K,Right,38.0,CB
G. Scalera,20,60,Italy,Pescara,€300K,€1K,Right,27.0,RB
B. Levis,25,60,Canada,Vancouver Whitecaps FC,€230K,€1K,Left,46.0,LB
B. Miele,23,60,Republic of Ireland,Shamrock Rovers,€280K,€1K,Right,10.0,RM
A. Al Arraf,23,60,Saudi Arabia,Al Taawoun,€210K,€2K,Right,25.0,GK
J. Sievers,23,60,Germany,1. FC Kaiserslautern,€230K,€1K,Left,1.0,GK
J. Abarzua,26,60,Chile,CD Universidad de Concepción,€250K,€1K,Right,18.0,CM
C. Villanueva,24,60,Mexico,Club Necaxa,€240K,€4K,Right,4.0,RB
N. Arena,20,60,Argentina,Vélez Sarsfield,€325K,€2K,Right,15.0,CB
S. Marasovic,20,60,France,Olympique de Marseille,€450K,€4K,Right,33.0,CAM
M. Falkeborn,25,60,Sweden,Lillestrøm SK,€220K,€1K,Right,16.0,LB
R. Boultam,20,60,Netherlands,US Cremonese,€450K,€1K,Right,34.0,CM
G. Giannoutsos,19,60,Greece,AEK Athens,€325K,€1K,Left,33.0,LB
L. Plogmann,18,60,Germany,SV Werder Bremen,€400K,€1K,Right,40.0,GK
S. Perilli,23,60,Italy,Perugia,€230K,€1K,Right,12.0,GK
A. Davies,20,60,Wales,Fulham,€325K,€5K,Right,57.0,CB
S. Adrian,20,60,Sweden,Malmö FF,€375K,€1K,Left,35.0,CM
I. Miller,31,60,England,Oldham Athletic,€190K,€3K,Left,11.0,RS
V. Rodríguez,23,60,Mexico,Club América,€325K,€7K,Right,32.0,RM
N. Hagelskjær,28,60,Denmark,Esbjerg fB,€160K,€2K,Right,32.0,RB
T. Archibald,20,60,Scotland,Forest Green Rovers,€450K,€4K,Left,18.0,LM
C. Missilou,25,60,Congo,Oldham Athletic,€260K,€2K,Right,17.0,LCM
C. McGrandles,22,60,Scotland,Milton Keynes Dons,€325K,€2K,Right,18.0,CM
A. Rufer,22,59,New Zealand,Wellington Phoenix,€220K,€1K,Right,14.0,RCM
R. Hall-Johnson,23,59,England,Grimsby Town,€180K,€2K,Right,2.0,RB
N. Kirby,18,59,England,Crystal Palace,€325K,€3K,Right,39.0,CAM
E. Mena,20,59,Colombia,Patriotas Boyacá FC,€300K,€1K,Right,28.0,RM
M. Haarup,22,59,Denmark,Hobro IK,€200K,€1K,Right,27.0,LB
S. Kassar,28,59,Saudi Arabia,Ohod Club,€120K,€3K,Left,17.0,LM
K. Callan-McFadden,23,59,Republic of Ireland,Sligo Rovers,€180K,€1K,Right,5.0,RCB
Ramón,27,59,Brazil,SønderjyskE,€130K,€2K,Right,4.0,RB
R. Grego-Cox,21,59,Republic of Ireland,Crawley Town,€240K,€1K,Right,7.0,ST
R. Broom,21,59,Wales,Cheltenham Town,€220K,€2K,Right,11.0,RWB
L. Fenton,25,59,New Zealand,Wellington Phoenix,€160K,€1K,Right,16.0,RWB
M. Özvardar,20,59,Turkey,Sivasspor,€270K,€2K,Right,99.0,ST
J. Rasheed,26,59,Norway,BK Häcken,€140K,€1K,Right,29.0,GK
A. Siemaszko,21,59,Poland,Zagłębie Lubin,€220K,€1K,Right,7.0,ST
B. Breukers,19,59,Netherlands,Fortuna Sittard,€240K,€1K,Right,24.0,CM
G. Kılıç,18,59,Germany,1. FC Heidenheim 1846,€325K,€1K,Right,37.0,LM
H. Koné,30,59,Ivory Coast,Neuchâtel Xamax,€150K,€1K,Right,9.0,CAM
Iván Martos,21,59,Spain,UD Almería,€240K,€1K,Left,29.0,LB
D. O'Halloran,22,59,Republic of Ireland,Waterford FC,€240K,€1K,Right,14.0,LM
G. McEachran,17,59,England,Chelsea,€350K,€6K,Left,55.0,CAM
N. Mekonnen,18,59,Germany,RB Leipzig,€290K,€2K,Right,34.0,CDM
L. Wedl,22,59,Austria,FC Wacker Innsbruck,€170K,€1K,Right,25.0,GK
C. Hall,20,59,England,Accrington Stanley,€350K,€2K,Right,10.0,ST
L. Pfeiffer,21,59,Germany,VfL Osnabrück,€230K,€2K,Right,11.0,ST
D. Markey,21,59,Republic of Ireland,St. Patrick's Athletic,€270K,€1K,Right,15.0,CAM
J. Schuurman,20,59,Netherlands,Vitesse,€220K,€1K,Right,35.0,CDM
J. Stanic,19,59,Croatia,FC Augsburg,€300K,€1K,Right,15.0,CB
Joo Hyun Ho,22,59,Korea Republic,Suwon Samsung Bluewings,€240K,€1K,Left,70.0,LW
A. de Jong,21,59,New Zealand,,€0,€0,Right,10.0,CAM
W. Sietsma,22,59,Netherlands,Milton Keynes Dons,€180K,€2K,Right,13.0,GK
C. Jordan,19,59,England,Bournemouth,€300K,€3K,Right,46.0,CB
Óscar Gil,20,59,Spain,Elche CF,€220K,€1K,Right,27.0,RB
S. Matthews,21,59,England,Bristol Rovers,€230K,€1K,Left,26.0,CM
K. Fukuda,33,59,Japan,V-Varen Nagasaki,€90K,€1K,Right,29.0,RM
O. Patrick,22,59,England,Yeovil Town,€250K,€2K,Right,8.0,ST
L. Kryeziu,19,59,Kosovo,FC Lugano,€325K,€1K,Right,99.0,ST
J. Lyden,22,59,Australia,Oldham Athletic,€250K,€3K,Right,5.0,CM
K. Hansen,17,59,Norway,Southampton,€270K,€3K,Left,48.0,CAM
Y. Yakovenko,24,59,Ukraine,Esbjerg fB,€210K,€2K,Left,23.0,ST
B. Sabovic,20,59,Sweden,Djurgårdens IF,€240K,€1K,Right,14.0,CM
F. Irie,20,59,Ivory Coast,KSV Cercle Brugge,€270K,€2K,Right,23.0,CAM
S. Hornby,23,59,England,Port Vale,€140K,€2K,Left,12.0,GK
D. Padilla,24,59,Colombia,La Equidad,€200K,€1K,Right,16.0,CAM
M. Bakhit,26,59,Saudi Arabia,Al Hazem,€150K,€2K,Right,32.0,RB
S. Sosa,19,59,Argentina,River Plate,€300K,€1K,Right,13.0,CDM
F. Mveng,26,59,Switzerland,FC Sion,€190K,€4K,Right,8.0,CM
M. Velázquez,27,59,Mexico,Club León,€130K,€4K,Right,2.0,CB
Nuno Malheiro,24,59,Portugal,Zagłębie Sosnowiec,€170K,€1K,Left,70.0,LB
K. Devaney,27,59,Republic of Ireland,Bohemian FC,€160K,€1K,Right,11.0,LM
Zhang Jiaqi,26,59,China PR,Guangzhou R&F; FC,€160K,€2K,Right,5.0,CDM
Oleaga,21,59,Spain,Athletic Club de Bilbao,€180K,€2K,Right,26.0,GK
J. Kristoffersen,21,59,Norway,Hobro IK,€220K,€1K,Right,19.0,ST
F. Şimşek,20,59,Germany,Çaykur Rizespor,€350K,€2K,Left,58.0,LM
R. Singh,28,59,India,,€0,€0,Left,9.0,ST
M. Smith,22,59,England,Swindon Town,€220K,€2K,Right,16.0,CM
M. Čović,20,59,Germany,Hertha BSC,€350K,€3K,Right,34.0,RM
Z. de la Paz,23,59,Curacao,Oldham Athletic,€180K,€2K,Right,13.0,GK
N. Sugai,33,59,Japan,Vegalta Sendai,€90K,€1K,Right,25.0,RM
K. Ikeda,31,59,Japan,Sagan Tosu,€140K,€1K,Right,22.0,CF
M. Fonseca,22,59,Argentina,Patronato,€240K,€2K,Right,41.0,ST
Y. Roemer,16,59,Netherlands,VVV-Venlo,€300K,€1K,Right,38.0,ST
R. Simpson,33,59,England,Milton Keynes Dons,€100K,€3K,Right,19.0,ST
Kim Gyeong Jae,24,59,Korea Republic,Sangju Sangmu FC,€180K,€1K,Right,43.0,CB
Jeong Seung Won,21,59,Korea Republic,Daegu FC,€300K,€1K,Right,18.0,RCM
M. Šverko,20,59,Croatia,Karlsruher SC,€300K,€3K,Left,15.0,LB
T. Corbaz,24,59,Switzerland,Neuchâtel Xamax,€200K,€1K,Right,7.0,CDM
R. Marín,20,59,Mexico,Club Necaxa,€350K,€6K,Left,17.0,ST
B. Lika,25,59,Switzerland,Grasshopper Club Zürich,€160K,€2K,Right,24.0,RB
N. Baumann,22,59,Switzerland,FC Lugano,€170K,€1K,Right,46.0,GK
M. Kamenz,19,59,Germany,FSV Zwickau,€150K,€1K,Right,29.0,GK
Wang Wei,29,59,China PR,Shanghai Greenland Shenhua FC,€150K,€2K,Left,31.0,LM
K. Sidibé,19,59,France,Toulouse Football Club,€300K,€2K,Right,26.0,CDM
A. Ramalingom,25,59,France,AS Béziers,€210K,€1K,Right,27.0,ST
Zhou Liao,29,59,China PR,Tianjin TEDA FC,€160K,€3K,Right,18.0,ST
K. Madianga,24,59,France,Dundee FC,€210K,€1K,Right,22.0,RM
K. Grabara,19,59,Poland,Liverpool,€280K,€3K,Right,73.0,GK
I. Al Shuayl,23,59,Saudi Arabia,Al Qadisiyah,€180K,€2K,Left,23.0,LB
P. Gehrmann,23,59,Germany,FC Energie Cottbus,€210K,€1K,Right,13.0,CM
T. Weiner,19,59,Germany,Holstein Kiel,€230K,€1K,Right,1.0,GK
O. Al Khalaf,21,59,Saudi Arabia,Ettifaq FC,€240K,€3K,Right,8.0,CDM
V. Kušej,18,59,Czech Republic,SG Dynamo Dresden,€325K,€2K,Left,32.0,CF
F. Manzo,19,59,Chile,Unión La Calera,€230K,€1K,Right,16.0,CAM
B. Chorbadzhiyski,22,59,Bulgaria,,€0,€0,Right,4.0,RCB
A. Sissoko,21,59,France,Clermont Foot 63,€220K,€1K,Right,22.0,RB
D. Olsson,21,59,Sweden,IF Elfsborg,€190K,€1K,Right,30.0,GK
P. McClean,21,59,Republic of Ireland,Sligo Rovers,€250K,€1K,Left,15.0,CB
D. Horkaš,19,59,Croatia,Dinamo Zagreb,€190K,€1K,Right,12.0,GK
T. Enomoto,35,59,Japan,Urawa Red Diamonds,€40K,€1K,Right,25.0,GK
S. Sidler,19,59,Switzerland,FC Luzern,€260K,€1K,Right,34.0,LB
C. Kühlwetter,22,59,Germany,1. FC Kaiserslautern,€230K,€1K,Right,24.0,LM
A. Busti,18,59,Canada,,€0,€0,Right,23.0,GK
A. Mitchell,22,59,New Zealand,,€0,€0,Right,20.0,CB
E. Robson,21,59,England,Sunderland,€260K,€2K,Left,21.0,CM
Moon Jeong In,20,59,Korea Republic,Ulsan Hyundai FC,€210K,€1K,Right,51.0,GK
Gao Jiarun,23,59,China PR,Tianjin TEDA FC,€180K,€2K,Right,6.0,CM
D. Pender,33,59,Republic of Ireland,Bohemian FC,€60K,€1K,Right,2.0,RB
A. Gamboa,19,59,Costa Rica,Waasland-Beveren,€260K,€1K,Left,19.0,CB
E. Henschel,21,59,Germany,Hallescher FC,€250K,€1K,Right,17.0,RM
J. Abbel,19,59,Netherlands,Willem II,€220K,€1K,Left,33.0,LB
A. Al Amri,21,59,Saudi Arabia,Al Wehda,€220K,€3K,Right,23.0,CB
Han Seung Wook,22,59,Korea Republic,Jeonnam Dragons,€240K,€1K,Right,26.0,CAM
K. Eek,30,59,Norway,Ranheim Fotball,€120K,€1K,Right,4.0,CB
C. Manley,22,59,United States,Minnesota United FC,€220K,€1K,Right,2.0,RB
J. Peñaloza,18,59,Colombia,SD Huesca,€325K,€2K,Right,33.0,RW
D. Martinović,21,59,Croatia,SV Wehen Wiesbaden,€230K,€1K,Right,30.0,ST
T. Müsel,18,59,Germany,Borussia Mönchengladbach,€325K,€2K,Right,26.0,ST
E. Coronel,21,59,Argentina,Club Atlético Banfield,€200K,€2K,Right,32.0,RB
W. Ditta,21,59,Colombia,Junior FC,€210K,€1K,Right,33.0,CB
J. Andersson,23,59,Sweden,Djurgårdens IF,€200K,€1K,Right,2.0,RB
Lee Sang Hyeob,28,59,Korea Republic,Sangju Sangmu FC,€150K,€1K,Left,23.0,CM
R. Sykes,19,59,England,Accrington Stanley,€260K,€1K,Right,15.0,CB
P. Kucharczyk,21,59,Poland,Śląsk Wrocław,€170K,€1K,Right,34.0,CB
P. Bucha,20,59,Czech Republic,Viktoria Plzeň,€240K,€1K,Right,20.0,CM
J. Wrąbel,22,59,Poland,Śląsk Wrocław,€190K,€1K,Right,1.0,GK
K. Colvey,24,59,New Zealand,Colorado Rapids,€170K,€1K,Left,23.0,LB
O. Al Sunain,23,59,Saudi Arabia,Ettifaq FC,€180K,€3K,Right,70.0,RB
B. Wilmot,18,59,England,Watford,€290K,€3K,Right,24.0,CB
S. Kelly,24,59,England,Hamilton Academical FC,€200K,€1K,Left,26.0,LM
M. Bachini,23,59,Italy,Spezia,€230K,€1K,Right,32.0,CB
Iván Jaime,17,59,Spain,Málaga CF,€300K,€1K,Right,34.0,CM
R. Armand,31,59,France,GFC Ajaccio,€140K,€1K,Right,9.0,LW
C. Dunn,30,59,England,Walsall,€100K,€1K,Left,13.0,GK
Oh Inpyo,21,59,Korea Republic,LASK Linz,€230K,€1K,Right,22.0,CAM
M. Tyler,41,59,England,Peterborough United,€10K,€1K,Right,40.0,GK
R. Ariza,20,59,Colombia,Alianza Petrolera,€220K,€1K,Left,14.0,LM
B. Murphy,33,59,Republic of Ireland,St. Patrick's Athletic,€80K,€1K,Right,1.0,GK
N. Tenaglia,22,59,Argentina,Club Atlético Talleres,€220K,€2K,Right,14.0,RB
J. Meier,18,59,Germany,FC Bayern München,€290K,€3K,Left,23.0,LB
B. Goller,19,59,Germany,FC Schalke 04,€325K,€2K,Right,39.0,RW
N. Yamada,27,59,Japan,Urawa Red Diamonds,€160K,€2K,Right,18.0,CM
